ID,AuthID,First Name,Last Name,Birthday,Country of Residence,Hrs Writing per Day
1,AS443,Abraham,Stackhouse,7/1/1947,Norway,6
2,AW980,Amelia,Wangerin Jr.,3/26/1941,New Zealand,16
3,AI923,Anastasia,Inez,3/30/1948,New Zealand,11
4,AM329,Arthur,McCrumb,3/13/1948,New Zealand,3
5,AH957,Arturo,Hijuelos,1/9/2029,United Kingdom,8
6,BH149,Bernard,Hopf,11/27/2022,United States,1
7,BT132,Bianca,Thompson,1/28/1950,United States,5
8,BL857,Bravig,Lewisohn,1/21/1938,United States,11
9,BM856,Burton,Malamud,1/18/1945,Brazil,6
10,CS190,Carolyn,Segal,9/24/1933,United States,7
11,CF829,Charles,Fenimore,3/18/2020,Norway,7
12,CW626,Clifford,Wolitzer,8/1/1943,United Kingdom,8
13,DF413,Darryl,Fleischman,12/7/1931,Germany,16
14,DB605,David,Beam,2/26/1957,United States,5.13
15,EH487,Elizabeth,Herbach,1/22/1957,New Zealand,0
16,EK605,Elmer,Komroff,7/11/2029,Norway,6
17,GG800,Gloria,Green,9/19/1956,Hong Kong,8
18,GH671,Grace,Harrison,4/8/1961,United States,6
19,HM751,Hamlin,Myrer,1/29/2025,Brazil,9
20,HB302,Hillary,Barnhardt,3/7/1954,New Zealand,4
21,JH502,Jill,Hergesheimer,6/15/1956,Canada,8
22,JS525,John W.,Spanogle,8/10/1949,United Kingdom,10
23,JK592,Jonathan,Kotzwinkle,2/3/1951,Germany,6
24,KY296,Kathy,Yglesias,4/3/1951,Brazil,8
25,KD840,Kenneth,Douglas,9/24/1963,South Africa,3
26,KE397,Kris,Elegant,8/26/1949,Hong Kong,5
27,LL585,Langston,Lippman,10/2/1947,New Zealand,0
28,LN356,Leonard,Nabokov,9/29/1969,United States,1
29,LK915,Lori,Kaan,3/27/1947,China,6
30,LD375,Lynne,Danticat,8/19/1955,New Zealand,8
31,MW974,Malin,Wolff,1/31/1941,Hong Kong,6
32,OL640,Oliver,Lowry,8/29/1955,Netherlands,4
33,PH273,Patricia,Hazzard,4/27/1946,Singapore,5
34,PA878,Philip,Antrim,4/22/1948,Netherlands,7
35,PB147,Phoebe,Brown,8/21/1949,Hong Kong,13
36,RL217,R.M.,Larner,3/26/1930,China,9
37,RM781,Robert,Milofsky,1/12/1957,United States,10
38,RP438,Robert,Plimpton,11/11/1960,Canada,13
39,UK129,Ursula,Karénine,2/25/1956,United Kingdom,9
40,WH901,Ward,Haigh,10/7/1953,Brazil,7
41,WB149,Wendell,Barton,10/25/1938,United States,2
