AuthID,First Name,Last Name,Birthday,Country of Residence
AS443,Abraham,Stackhouse,7/1/1947,Norway
AW980,Amelia,Wangerin Jr.,3/26/1941,New Zealand
AI923,Anastasia,Inez,3/30/1948,New Zealand
AM329,Arthur,McCrumb,3/13/1948,New Zealand
AH957,Arturo,Hijuelos,1/9/2029,United Kingdom
BH149,Bernard,Hopf,11/27/2022,United States
BT132,Bianca,Thompson,1/28/1950,United States
BL857,Bravig,Lewisohn,1/21/1938,United States
BM856,Burton,Malamud,1/18/1945,Brazil
CS190,Carolyn,Segal,9/24/1933,United States
CF829,Charles,Fenimore,3/18/2020,Norway
CW626,Clifford,Wolitzer,8/1/1943,United Kingdom
DF413,Darryl,Fleischman,12/7/1931,Germany
DB605,David,Beam,2/26/1957,United States
EH487,Elizabeth,Herbach,1/22/1957,New Zealand
EK605,Elmer,Komroff,7/11/2029,Norway
GG800,Gloria,Green,9/19/1956,Hong Kong
GH671,Grace,Harrison,4/8/1961,United States
HM751,Hamlin,Myrer,1/29/2025,Brazil
HB302,Hillary,Barnhardt,3/7/1954,New Zealand
JH502,Jill,Hergesheimer,6/15/1956,Canada
JS525,John W.,Spanogle,8/10/1949,United Kingdom
JK592,Jonathan,Kotzwinkle,2/3/1951,Germany
KY296,Kathy,Yglesias,4/3/1951,Brazil
KD840,Kenneth,Douglas,9/24/1963,South Africa
KE397,Kris,Elegant,8/26/1949,Hong Kong
LL585,Langston,Lippman,10/2/1947,New Zealand
LN356,Leonard,Nabokov,9/29/1969,United States
LK915,Lori,Kaan,3/27/1947,China
LD375,Lynne,Danticat,8/19/1955,New Zealand
MW974,Malin,Wolff,1/31/1941,Hong Kong
OL640,Oliver,Lowry,8/29/1955,Netherlands
PH273,Patricia,Hazzard,4/27/1946,Singapore
PA878,Philip,Antrim,4/22/1948,Netherlands
PB147,Phoebe,Brown,8/21/1949,Hong Kong
RL217,R.M.,Larner,3/26/1930,China
RM781,Robert,Milofsky,1/12/1957,United States
RP438,Robert,Plimpton,11/11/1960,Canada
UK129,Ursula,Karénine,2/25/1956,United Kingdom
WH901,Ward,Haigh,10/7/1953,Brazil
WB149,Wendell,Barton,10/25/1938,United States
